site_code,horizon_hours,feature_set,status,n_features,n_train,n_calib,n_test,mae_ft,rmse_ft,nse,margin_ft,ci80_coverage,ci80_nominal
01388500,1,baseline,ok,24,631,211,211,0.0295,0.0756,0.9722,0.2256,0.986,0.8
01388500,1,enriched,ok,50,631,211,211,0.0569,0.1625,0.8712,0.2753,0.981,0.8
01388500,3,baseline,ok,24,630,210,211,0.0447,0.1251,0.9236,0.3109,0.981,0.8
01388500,3,enriched,ok,50,630,210,211,0.1063,0.2333,0.7344,0.5043,0.972,0.8
01388500,6,baseline,ok,24,628,210,210,0.0761,0.2116,0.7826,0.3664,0.967,0.8
01388500,6,enriched,ok,50,628,210,210,0.1726,0.3058,0.5458,0.484,0.957,0.8
01388500,12,baseline,ok,24,625,208,209,0.1338,0.3368,0.4515,0.631,0.943,0.8
01388500,12,enriched,ok,50,625,208,209,0.1449,0.342,0.4345,0.5699,0.933,0.8
01388500,24,baseline,ok,24,618,206,206,0.2417,0.498,-0.1828,0.8672,0.888,0.8
01388500,24,enriched,ok,50,618,206,206,0.2611,0.5133,-0.2566,1.1505,0.903,0.8
01388500,48,baseline,ok,24,603,201,202,0.266,0.5367,-0.3489,1.4027,0.916,0.8
01388500,48,enriched,ok,36,603,201,202,0.2695,0.5398,-0.3645,1.3829,0.901,0.8
